"Date","Price","Open","High","Low","Change %"
"Dec 21","5.210","5.210","5.210","5.210","-4.58%"
"Nov 21","5.460","4.950","5.710","4.890","16.67%"
"Oct 21","4.680","4.440","5.130","4.440","15.84%"
"Sep 21","4.040","3.890","4.260","3.890","8.02%"
"Aug 21","3.740","3.740","3.910","3.710","4.18%"
"Jul 21","3.590","3.470","3.830","3.390","10.12%"
"Jun 21","3.260","3.360","3.470","3.310","2.84%"
"May 21","3.170","3.070","3.430","3.070","8.19%"
"Apr 21","2.930","3.220","3.390","3.040","-2.98%"
"Mar 21","3.020","3.610","3.610","3.160","-9.58%"
"Feb 21","3.340","2.850","3.620","2.700","28.96%"
"Jan 21","2.590","3.100","3.100","2.730","-9.44%"
"Dec 20","2.860","3.380","3.550","3.040","-9.78%"
"Nov 20","3.170","3.560","3.560","3.230","-3.06%"
"Oct 20","3.270","3.500","3.590","3.370","-2.39%"
"Sep 20","3.350","3.930","3.930","3.450","-7.71%"
"Aug 20","3.630","4.030","4.240","3.760","-3.46%"
"Jul 20","3.760","4.000","4.200","3.880","0.27%"
"Jun 20","3.750","4.050","4.200","3.850","-5.54%"
"May 20","3.970","4.820","4.860","4.180","-14.25%"
"Apr 20","4.630","5.300","5.310","4.550","-5.32%"
"Mar 20","4.890","4.110","6.250","3.800","23.17%"
"Feb 20","3.970","4.270","4.320","3.830","-3.41%"
"Jan 20","4.110","4.490","4.490","4.210","-4.86%"
"Dec 19","4.320","4.690","4.790","4.490","-2.26%"
"Nov 19","4.420","4.250","4.660","4.200","7.28%"
"Oct 19","4.120","4.160","4.280","4.120","3.00%"
"Sep 19","4.000","4.150","4.330","4.040","0.00%"
"Aug 19","4.000","4.350","4.570","3.940","-2.79%"
"Jul 19","4.115","4.650","4.755","4.150","-6.48%"
"Jun 19","4.400","4.840","4.950","4.410","-5.68%"
"May 19","4.665","4.980","5.080","4.830","-2.37%"
"Apr 19","4.778","4.850","5.090","4.820","2.93%"
"Mar 19","4.642","4.980","5.000","4.750","1.09%"
"Feb 19","4.592","4.800","4.960","4.780","-4.73%"
"Jan 19","4.820","4.720","5.240","4.570","1.90%"
"Dec 18","4.730","4.990","4.996","4.730","-3.67%"
"Nov 18","4.910","4.930","5.046","4.720","1.66%"
"Oct 18","4.830","4.830","5.170","4.780","2.33%"
"Sep 18","4.720","4.820","4.930","4.790","0.00%"
"Aug 18","4.720","4.980","5.050","4.700","-2.01%"
"Jul 18","4.817","5.310","5.310","4.800","-5.92%"
"Jun 18","5.120","4.940","5.380","4.860","8.02%"
"May 18","4.740","4.610","4.960","4.501","4.87%"
"Apr 18","4.520","4.520","4.700","4.380","3.67%"
"Mar 18","4.360","4.550","4.670","4.500","0.00%"
"Feb 18","4.360","4.520","4.670","4.500","0.46%"
"Jan 18","4.340","4.410","4.570","4.270","2.87%"
"Dec 17","4.219","4.570","4.610","4.389","-5.59%"
"Nov 17","4.469","4.390","4.710","4.350","6.91%"
