Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,396.450012,399.760010,389.109985,399.709991,399.709991,0
2013-06-01,400.299988,404.529999,398.019989,403.989990,403.989990,0
2013-07-01,403.899994,416.220001,403.179993,411.450012,411.450012,0
2013-08-01,413.140015,417.940002,408.010010,412.869995,412.869995,0
2013-09-01,412.700012,423.779999,410.630005,421.980011,421.980011,0
2013-10-01,421.750000,421.750000,415.609985,416.649994,416.649994,0
2013-11-01,416.660004,417.390015,410.480011,413.200012,413.200012,0
2013-12-01,413.410004,423.589996,405.390015,421.600006,421.600006,0
2014-01-01,424.149994,456.010010,424.149994,453.609985,453.609985,0
2014-02-01,453.170013,459.459991,449.209991,457.989990,457.989990,0
2014-03-01,455.100006,455.100006,428.320007,451.480011,451.480011,0
2014-04-01,451.790009,455.100006,445.989990,450.220001,450.220001,0
2014-05-01,449.720001,464.420013,448.470001,461.200012,461.200012,0
2014-06-01,463.600006,475.269989,462.079987,471.950012,471.950012,0
2014-07-01,471.390015,478.290009,470.950012,471.329987,471.329987,0
2014-08-01,470.739990,471.790009,448.109985,455.929993,455.929993,0
2014-09-01,456.380005,459.750000,454.339996,458.100006,458.100006,0
2014-10-01,459.410004,460.140015,444.399994,451.350006,451.350006,0
2014-11-01,451.410004,463.600006,448.269989,458.920013,458.920013,0
2014-12-01,459.420013,459.540009,451.609985,452.420013,452.420013,0
2015-01-01,453.989990,465.209991,453.989990,464.109985,464.109985,0
2015-02-01,462.829987,483.720001,462.450012,481.519989,481.519989,0
2015-03-01,483.369995,494.380005,481.119995,493.209991,493.209991,0
2015-04-01,493.549988,500.739990,491.600006,494.489990,494.489990,0
2015-05-01,493.440002,503.320007,487.079987,501.619995,501.619995,0
2015-06-01,501.940002,503.769989,494.170013,497.459991,497.459991,0
2015-07-01,497.260010,505.709991,494.299988,500.579987,500.579987,0
2015-08-01,498.589996,501.709991,473.720001,490.920013,490.920013,0
2015-09-01,490.890015,490.890015,460.600006,479.820007,479.820007,0
2015-10-01,481.589996,487.359985,477.320007,478.589996,478.589996,0
2015-11-01,478.779999,486.880005,478.200012,482.779999,482.779999,0
2015-12-01,485.350006,488.119995,480.350006,485.989990,485.989990,0
2016-01-01,486.779999,489.339996,478.079987,487.869995,487.869995,0
2016-02-01,486.070007,488.809998,481.440002,488.119995,488.119995,0
2016-03-01,488.239990,509.239990,488.239990,508.339996,508.339996,0
2016-04-01,506.579987,506.579987,491.850006,503.170013,503.170013,0
2016-05-01,503.170013,518.750000,503.170013,515.270020,515.270020,0
2016-06-01,515.340027,516.039978,498.559998,510.690002,510.690002,0
2016-07-01,510.690002,551.030029,508.459991,540.369995,540.369995,0
2016-08-01,540.369995,545.340027,530.719971,534.130005,534.130005,0
2016-09-01,533.989990,545.210022,533.150024,543.580017,543.580017,0
2016-10-01,543.409973,558.630005,536.969971,555.580017,555.580017,0
2016-11-01,555.419983,562.520020,546.320007,557.200012,557.200012,0
2016-12-01,556.789978,563.169983,549.590027,558.500000,558.500000,0
2017-01-01,562.280029,567.320007,560.070007,561.909973,561.909973,0
2017-02-01,562.229980,569.700012,557.849976,561.039978,561.039978,0
2017-03-01,559.460022,566.299988,557.950012,565.130005,565.130005,0
2017-04-01,564.270020,581.479980,558.650024,579.729980,579.729980,0
2017-05-01,579.979980,592.580017,578.359985,592.109985,592.109985,0
2017-06-01,591.299988,597.070007,585.630005,597.070007,597.070007,0
2017-07-01,596.650024,1098.739990,595.840027,625.770020,625.770020,0
2017-08-01,626.520020,659.789978,625.909973,658.900024,658.900024,0
2017-09-01,656.580017,657.369995,636.530029,641.840027,641.840027,0
2017-10-01,641.989990,662.890015,641.549988,660.669983,660.669983,0
2017-11-01,660.669983,666.530029,654.140015,660.190002,660.190002,0
2017-12-01,660.580017,665.820007,449.149994,653.289978,653.289978,0
2018-01-01,654.020020,731.000000,653.059998,685.849976,685.849976,0
2018-02-01,683.590027,689.969971,653.489990,683.950012,683.950012,0
2018-03-01,682.440002,703.340027,674.780029,702.250000,702.250000,0
2018-04-01,703.590027,709.650024,698.549988,704.700012,704.700012,0
2018-05-01,703.250000,716.210022,700.750000,711.109985,711.109985,0
2018-06-01,713.419983,716.809998,707.549988,709.950012,709.950012,0
2018-07-01,709.070007,717.690002,706.640015,717.330017,717.330017,0
2018-08-01,714.880005,718.359985,699.549988,700.299988,700.299988,0
2018-09-01,700.059998,701.070007,685.030029,689.270020,689.270020,0
2018-10-01,688.809998,688.809998,649.380005,651.020020,651.020020,0
2018-11-01,651.020020,660.099976,632.580017,642.979980,642.979980,0
2018-12-01,643.169983,644.049988,613.070007,616.900024,616.900024,0
2019-01-01,617.469971,648.409973,614.840027,647.960022,647.960022,0
2019-02-01,648.049988,652.000000,636.440002,651.599976,651.599976,0
2019-03-01,651.750000,660.200012,648.150024,655.280029,655.280029,0
2019-04-01,654.200012,682.940002,653.640015,682.710022,682.710022,0
2019-05-01,683.190002,691.520020,676.400024,677.580017,677.580017,0
2019-06-01,676.880005,677.719971,665.869995,665.869995,665.869995,0
2019-07-01,667.619995,694.880005,667.619995,694.669983,694.669983,0
2019-08-01,694.400024,697.820007,684.210022,688.440002,688.440002,0
2019-09-01,690.489990,694.729980,683.580017,690.619995,690.619995,0
2019-10-01,690.719971,703.830017,687.789978,701.900024,701.900024,0
2019-11-01,701.900024,718.580017,701.309998,709.590027,709.590027,0
2019-12-01,709.750000,713.390015,704.719971,712.140015,712.140015,0
2020-01-01,711.010010,742.030029,711.010010,734.409973,734.409973,0
2020-02-01,734.700012,750.559998,674.869995,688.049988,688.049988,0
2020-03-01,693.299988,719.609985,579.500000,604.559998,604.559998,0
2020-04-01,602.969971,697.190002,599.099976,695.049988,695.049988,0
2020-05-01,695.049988,724.750000,687.849976,721.570007,721.570007,0
2020-06-01,721.710022,745.119995,719.119995,737.710022,737.710022,0
2020-07-01,736.840027,784.369995,734.020020,777.849976,777.849976,0
2020-08-01,777.750000,787.390015,763.919983,785.559998,785.559998,0
2020-09-01,787.229980,792.739990,775.919983,778.369995,778.369995,0
2020-10-01,781.960022,790.200012,737.320007,745.150024,745.150024,0
2020-11-01,745.150024,782.409973,741.950012,774.119995,774.119995,0
2020-12-01,774.320007,817.789978,773.489990,816.640015,816.640015,0
2021-01-01,818.260010,880.409973,818.070007,862.429993,862.429993,0
2021-02-01,861.890015,864.099976,844.440002,850.989990,850.989990,0
2021-03-01,857.659973,862.419983,846.799988,848.890015,848.890015,0
2021-04-01,850.880005,889.960022,848.510010,883.159973,883.159973,0
2021-05-01,883.750000,929.530029,883.719971,929.409973,929.409973,0
2021-06-01,939.179993,940.190002,913.570007,924.500000,924.500000,0
2021-07-01,925.919983,969.489990,925.520020,965.309998,965.309998,0
2021-08-01,965.969971,1009.400024,956.349976,1003.849976,1003.849976,0
2021-09-01,1006.039978,1041.089966,929.349976,933.719971,933.719971,0
2021-10-01,932.880005,962.219971,913.979980,952.390015,952.390015,0
2021-11-01,952.390015,972.700012,949.150024,960.679993,960.679993,0
2021-12-01,962.409973,971.340027,955.929993,966.130005,966.130005,0
2022-01-01,967.869995,999.409973,932.900024,951.679993,951.679993,0
2022-02-01,953.200012,959.510010,862.409973,897.739990,897.739990,0
2022-03-01,905.429993,907.679993,798.599976,894.979980,894.979980,0
2022-04-01,897.469971,931.770020,896.000000,915.250000,915.250000,0
