"Date","Price","Open","High","Low","Change %"
"Nov 21","0.359","0.378","0.386","0.262","-3.49%"
"Oct 21","0.372","0.123","0.380","0.038","202.44%"
"Sep 21","0.123","-0.021","0.142","-0.038","402.04%"
"Aug 21","0.024","0.034","0.038","-0.033","-28.99%"
"Jul 21","0.034","0.097","0.150","0.034","-64.62%"
"Jun 21","0.097","0.149","0.160","0.091","-29.09%"
"May 21","0.138","0.054","0.303","0.025","154.63%"
"Apr 21","0.054","0.023","0.125","-0.002","-56.80%"
"Mar 21","0.125","0.063","0.125","-0.013","85.19%"
"Feb 21","0.068","-0.065","0.118","-0.075","-204.65%"
"Jan 21","-0.064","-0.015","0.001","-0.075","360.71%"
"Dec 20","-0.014","0.026","0.033","-0.088","-153.85%"
"Nov 20","0.026","0.071","0.114","-0.014","-63.64%"
"Oct 20","0.072","0.181","0.239","0.038","-62.57%"
"Sep 20","0.191","0.219","0.223","0.124","-9.05%"
"Aug 20","0.210","0.113","0.217","0.108","85.02%"
"Jul 20","0.113","0.244","0.257","0.106","-54.51%"
"Jun 20","0.250","0.350","0.350","0.165","-28.71%"
"May 20","0.350","0.375","0.375","0.350","-6.67%"
"Apr 20","0.375","0.325","0.425","0.325","15.38%"
"Mar 20","0.325","0.113","0.325","0.038","187.61%"
"Feb 20","0.113","0.262","0.262","0.113","-57.03%"
"Jan 20","0.263","0.363","0.363","0.263","-27.45%"
"Dec 19","0.363","0.313","0.363","0.313","16.00%"
"Nov 19","0.313","0.282","0.350","0.282","10.62%"
"Oct 19","0.282","0.275","0.300","0.257","2.73%"
"Sep 19","0.275","0.275","0.275","0.275","37.50%"
"Aug 19","0.200","0.200","0.200","0.200","-63.64%"
"Jul 19","0.550","0.550","0.550","0.550","-21.43%"
"Jun 19","0.700","0.700","0.700","0.700","-17.65%"
"May 19","0.850","0.850","0.850","0.850","-15.00%"
"Apr 19","1.000","1.000","1.000","1.000","0.00%"
"Mar 19","1.000","1.000","1.000","1.000","-13.04%"
"Feb 19","1.150","1.150","1.150","1.150","-8.00%"
"Jan 19","1.250","1.250","1.250","1.250","8.70%"
"Dec 18","1.150","1.150","1.150","1.150","-4.17%"
"Nov 18","1.200","1.200","1.200","1.200","0.00%"
"Oct 18","1.200","1.200","1.200","1.200","0.00%"
"Sep 18","1.200","1.200","1.200","1.200","0.00%"
"Aug 18","1.200","1.200","1.200","1.200","0.00%"
"Jul 18","1.200","1.200","1.200","1.200","14.29%"
"Jun 18","1.050","1.050","1.050","1.050","-8.70%"
"May 18","1.150","1.150","1.150","1.150","0.00%"
"Apr 18","1.150","1.150","1.150","1.150","0.00%"
"Mar 18","1.150","1.150","1.150","1.150","-8.00%"
"Feb 18","1.250","1.250","1.250","1.250","4.17%"
"Jan 18","1.200","1.200","1.200","1.200","9.09%"
"Dec 17","1.100","1.100","1.100","1.100","57.14%"
"Nov 17","0.700","0.700","0.700","0.700","-6.67%"
"Oct 17","0.750","0.750","0.750","0.750","-6.25%"
"Sep 17","0.800","0.800","0.800","0.800","0.00%"
"Aug 17","0.800","0.800","0.800","0.800","-5.88%"
"Jul 17","0.850","0.850","0.850","0.850","6.25%"
"Jun 17","0.800","0.800","0.800","0.800","6.67%"
"May 17","0.750","0.750","0.750","0.750","0.00%"
"Apr 17","0.750","0.750","0.750","0.750","-6.25%"
"Mar 17","0.800","0.800","0.800","0.800","0.00%"
"Feb 17","0.800","0.800","0.800","0.800","0.00%"
"Jan 17","0.800","0.800","0.800","0.800","0.00%"
"Dec 16","0.800","0.800","0.800","0.800","-5.88%"
"Nov 16","0.850","0.850","0.850","0.850","88.89%"
"Oct 16","0.450","0.450","0.450","0.450","12.50%"
"Sep 16","0.400","0.400","0.400","0.400","-11.11%"
"Aug 16","0.450","0.450","0.450","0.450","-30.77%"
"Jul 16","0.650","0.650","0.650","0.650","-23.53%"
"Jun 16","0.850","0.850","0.850","0.850","-10.53%"
"May 16","0.950","0.950","0.950","0.950","-5.00%"
"Apr 16","1.000","1.000","1.000","1.000","1.01%"
"Mar 16","0.990","0.990","0.990","0.990","-26.67%"
"Feb 16","1.350","1.350","1.350","1.350","-6.90%"
"Jan 16","1.450","1.450","1.450","1.450","-8.81%"
"Dec 15","1.590","1.590","1.590","1.590","10.42%"
"Nov 15","1.440","1.440","1.440","1.440","-4.00%"
"Oct 15","1.500","1.500","1.500","1.500","-6.25%"
"Sep 15","1.600","1.600","1.600","1.600","-3.03%"
"Aug 15","1.650","1.650","1.650","1.650","-8.33%"
"Jul 15","1.800","1.800","1.800","1.800","0.00%"
"Jun 15","1.800","1.800","1.800","1.800","44.00%"
"May 15","1.250","1.250","1.250","1.250","39.04%"
"Apr 15","0.899","0.899","0.899","0.899","50.08%"
"Mar 15","0.599","0.599","0.599","0.599","-25.03%"
"Feb 15","0.799","0.799","0.799","0.799","-38.49%"
"Jan 15","1.299","1.299","1.299","1.299","-29.75%"
"Dec 14","1.849","1.849","1.849","1.849","-7.50%"
"Nov 14","1.999","1.999","1.999","1.999","-16.67%"
"Oct 14","2.399","2.399","2.399","2.399","-4.00%"
"Sep 14","2.499","2.499","2.499","2.499","-3.85%"
"Aug 14","2.599","2.599","2.599","2.599","0.04%"
"Jul 14","2.598","2.598","2.598","2.598","-7.18%"
"Jun 14","2.799","2.799","2.799","2.799","-12.53%"
"May 14","3.200","3.200","3.200","3.200","0.00%"
"Apr 14","3.200","3.200","3.200","3.200","-3.00%"
"Mar 14","3.299","3.299","3.299","3.299","0.00%"
"Feb 14","3.299","3.299","3.299","3.299","-5.74%"
"Jan 14","3.500","3.500","3.500","3.500","-9.09%"
"Dec 13","3.850","3.850","3.850","3.850","-1.28%"
"Nov 13","3.900","3.900","3.900","3.900","-4.88%"
"Oct 13","4.100","4.100","4.100","4.100","-1.20%"
"Sep 13","4.150","4.150","4.150","4.150","1.22%"
"Aug 13","4.100","4.100","4.100","4.100","0.00%"
"Jul 13","4.100","4.100","4.100","4.100","5.13%"
"Jun 13","3.900","3.900","3.900","3.900","5.41%"
"May 13","3.700","3.700","3.700","3.700","-5.08%"
"Apr 13","3.898","3.898","3.898","3.898","-7.15%"
"Mar 13","4.198","4.198","4.198","4.198","2.42%"
"Feb 13","4.099","4.099","4.099","4.099","-1.21%"
"Jan 13","4.149","4.149","4.149","4.149","1.37%"
"Dec 12","4.093","4.093","4.093","4.093","-3.67%"
"Nov 12","4.249","4.249","4.249","4.249","-3.41%"
"Oct 12","4.399","4.399","4.399","4.399","-8.35%"
"Sep 12","4.800","4.800","4.800","4.800","-4.00%"
"Aug 12","5.000","5.000","5.000","5.000","-7.41%"
"Jul 12","5.400","5.400","5.400","5.400","-3.57%"
"Jun 12","5.600","5.600","5.600","5.600","0.00%"
"May 12","5.600","5.600","5.600","5.600","9.83%"
"Apr 12","5.099","5.099","5.099","5.099","-6.44%"
"Mar 12","5.450","5.450","5.450","5.450","-2.70%"
"Feb 12","5.601","5.601","5.601","5.601","-5.87%"
"Jan 12","5.950","5.950","5.950","5.950","-7.03%"
"Dec 11","6.400","6.400","6.400","6.400","-6.57%"
"Nov 11","6.850","6.850","6.850","6.850","25.69%"
"Oct 11","5.450","5.450","5.450","5.450","3.81%"
"Sep 11","5.250","5.250","5.250","5.250","-6.27%"
"Aug 11","5.601","5.601","5.601","5.601","3.70%"
"Jul 11","5.401","5.401","5.401","5.401","0.02%"
"Jun 11","5.400","5.400","5.400","5.400","-4.42%"
"May 11","5.650","5.650","5.650","5.650","9.64%"
"Apr 11","5.153","5.153","5.153","5.153","0.00%"
"Mar 11","5.153","5.153","5.153","5.153","43.70%"
"Feb 11","3.586","3.586","3.586","3.586","-27.57%"
"Jan 11","4.951","4.951","4.951","4.951","-1.04%"
"Dec 10","5.003","5.003","5.003","5.003","4.21%"
"Nov 10","4.801","4.801","4.801","4.801","4.35%"
"Oct 10","4.601","4.601","4.601","4.601","-1.12%"
"Sep 10","4.653","4.653","4.653","4.653","-8.80%"
"Aug 10","5.102","5.102","5.102","5.102","-4.71%"
"Jul 10","5.354","5.354","5.354","5.354","-10.83%"
"Jun 10","6.004","6.004","6.004","6.004","11.16%"
"May 10","5.401","5.401","5.401","5.401","1.89%"
"Apr 10","5.301","5.301","5.301","5.301","-1.91%"
"Mar 10","5.404","5.404","5.404","5.404","-9.96%"
"Feb 10","6.002","6.002","6.002","6.002","-22.59%"
"Jan 10","7.754","7.754","7.754","7.754","0.03%"
"Dec 09","7.752","7.752","7.752","7.752","-8.83%"
"Nov 09","8.503","8.503","8.503","8.503","-19.20%"
"Oct 09","10.524","10.524","10.524","10.524","-8.58%"
"Sep 09","11.512","11.512","11.512","11.512","-16.09%"
"Aug 09","13.720","13.720","13.720","13.720","5.97%"
"Jul 09","12.947","12.947","12.947","12.947","104.18%"
"Jun 09","6.341","6.341","6.341","6.341","30.72%"
"May 09","4.851","4.851","4.851","4.851","-65.88%"
"Apr 09","14.218","14.218","14.218","14.218","7.86%"
"Mar 09","13.182","13.182","13.182","13.182","-5.89%"
"Feb 09","14.007","14.007","14.007","14.007","0.00%"
"Jan 09","14.007","14.007","14.007","14.007","0.05%"
"Dec 08","14.000","14.000","14.000","14.000","54.61%"
"Nov 08","9.055","9.055","9.055","9.055","0.54%"
"Oct 08","9.006","9.006","9.006","9.006","47.45%"
"Sep 08","6.108","6.108","6.108","6.108","0.38%"
"Aug 08","6.085","6.085","6.085","6.085","1.54%"
"Jul 08","5.993","5.993","5.993","5.993","1.39%"
"Jun 08","5.911","5.911","5.911","5.911","5.53%"
"May 08","5.601","5.601","5.601","5.601","6.42%"
"Apr 08","5.263","5.263","5.263","5.263","3.18%"
"Mar 08","5.101","5.101","5.101","5.101","3.45%"
"Feb 08","4.931","4.931","4.931","4.931","-0.02%"
"Jan 08","4.932","4.932","4.932","4.932","-2.36%"
