"Date","Price","Open","High","Low","Change %"
"Dec 07","5.051","5.051","5.051","5.051","1.43%"
"Nov 07","4.980","4.980","4.980","4.980","3.51%"
"Oct 07","4.811","4.811","4.811","4.811","-0.41%"
"Sep 07","4.831","4.831","4.831","4.831","1.28%"
"Aug 07","4.770","4.770","4.770","4.770","-2.67%"
"Jul 07","4.901","4.901","4.901","4.901","0.84%"
"Jun 07","4.860","4.860","4.860","4.860","0.39%"
"May 07","4.841","4.841","4.841","4.841","1.28%"
"Apr 07","4.780","4.780","4.780","4.780","9.86%"
"Mar 07","4.351","4.351","4.351","4.351","-0.66%"
"Feb 07","4.380","4.380","4.380","4.380","-0.02%"
"Jan 07","4.381","4.381","4.381","4.381","3.57%"
"Dec 06","4.230","4.230","4.230","4.230","5.75%"
"Nov 06","4.000","4.000","4.000","4.000","-2.44%"
"Oct 06","4.100","4.100","4.100","4.100","2.76%"
"Sep 06","3.990","3.990","3.990","3.990","-3.65%"
"Aug 06","4.141","4.141","4.141","4.141","-3.27%"
"Jul 06","4.281","4.281","4.281","4.281","-3.82%"
"Jun 06","4.451","4.451","4.451","4.451","4.21%"
"May 06","4.271","4.271","4.271","4.271","0.73%"
"Apr 06","4.240","4.240","4.240","4.240","4.95%"
"Mar 06","4.040","4.040","4.040","4.040","7.73%"
"Feb 06","3.750","3.750","3.750","3.750","4.69%"
"Jan 06","3.582","3.582","3.582","3.582","0.59%"
"Dec 05","3.561","3.561","3.561","3.561","1.51%"
"Nov 05","3.508","3.508","3.508","3.508","1.59%"
"Oct 05","3.453","3.453","3.453","3.453","7.94%"
"Sep 05","3.199","3.199","3.199","3.199","0.69%"
"Aug 05","3.177","3.177","3.177","3.177","-3.73%"
"Jul 05","3.300","3.300","3.300","3.300","3.64%"
"Jun 05","3.184","3.184","3.184","3.184","-7.71%"
"May 05","3.450","3.450","3.450","3.450","-4.14%"
"Apr 05","3.599","3.599","3.599","3.599","-5.24%"
"Mar 05","3.798","3.798","3.798","3.798","1.33%"
"Feb 05","3.748","3.748","3.748","3.748","2.71%"
"Jan 05","3.649","3.649","3.649","3.649","-6.41%"
"Dec 04","3.899","3.899","3.899","3.899","-3.73%"
"Nov 04","4.050","4.050","4.050","4.050","-3.55%"
"Oct 04","4.199","4.199","4.199","4.199","-6.69%"
"Sep 04","4.500","4.500","4.500","4.500","-3.64%"
"Aug 04","4.670","4.670","4.670","4.670","-0.43%"
"Jul 04","4.690","4.690","4.690","4.690","0.00%"
"Jun 04","4.690","4.690","4.690","4.690","0.86%"
"May 04","4.650","4.650","4.650","4.650","-2.11%"
"Apr 04","4.750","4.750","4.750","4.750","0.00%"
"Mar 04","4.750","4.750","4.750","4.750","1.06%"
"Feb 04","4.700","4.700","4.700","4.700","-2.08%"
"Jan 04","4.800","4.800","4.800","4.800","-15.79%"
"Dec 03","5.700","5.700","5.700","5.700","-0.02%"
"Nov 03","5.701","5.701","5.701","5.701","11.78%"
"Oct 03","5.100","5.100","5.100","5.100","1.78%"
"Sep 03","5.011","5.011","5.011","5.011","-4.55%"
"Aug 03","5.250","5.250","5.250","5.250","46.24%"
"Jul 03","3.590","3.590","3.590","3.590","-34.13%"
"Jun 03","5.450","5.450","5.450","5.450","1.87%"
"May 03","5.350","5.350","5.350","5.350","8.08%"
"Apr 03","4.950","4.950","4.950","4.950","-9.17%"
"Mar 03","5.450","5.450","5.450","5.450","1.87%"
"Feb 03","5.350","5.350","5.350","5.350","20.93%"
