"Date","Price","Open","High","Low","Change %"
"Apr 22","1.900","1.900","1.900","1.900","171.43%"
"Mar 22","0.700","0.700","0.700","0.700","0.00%"
"Feb 22","0.700","0.700","0.700","0.700","0.00%"
"Jan 22","0.700","0.700","0.700","0.700","0.00%"
"Dec 21","0.700","0.700","0.700","0.700","0.00%"
"Nov 21","0.700","0.700","0.700","0.700","0.00%"
"Oct 21","0.700","0.300","0.700","0.300","133.33%"
"Sep 21","0.300","0.300","0.300","0.300","0.00%"
"Aug 21","0.300","0.250","0.300","0.250","20.00%"
"Jul 21","0.250","0.220","0.250","0.183","13.64%"
"Jun 21","0.220","0.220","0.220","0.220","0.00%"
"May 21","0.220","0.220","0.220","0.220","0.00%"
"Apr 21","0.220","0.220","0.220","0.183","0.00%"
"Mar 21","0.220","0.280","0.280","0.220","-21.43%"
"Feb 21","0.280","0.280","0.290","0.280","0.00%"
"Jan 21","0.280","0.400","0.400","0.280","-30.00%"
"Dec 20","0.400","0.400","0.400","0.400","0.00%"
"Nov 20","0.400","0.400","0.400","0.400","0.00%"
"Oct 20","0.400","0.400","0.400","0.400","0.00%"
"Sep 20","0.400","0.400","0.400","0.400","0.00%"
"Aug 20","0.400","0.400","0.400","0.400","-11.11%"
"Jul 20","0.450","0.800","0.800","0.450","-55.00%"
"Jun 20","1.000","1.000","1.000","1.000","0.00%"
"May 20","1.000","0.990","1.401","0.900","28.21%"
"Apr 20","0.780","0.350","0.780","0.350","136.36%"
"Mar 20","0.330","0.250","0.330","0.250","10.00%"
"Feb 20","0.300","0.300","0.300","0.300","-25.00%"
"Jan 20","0.400","0.400","0.400","0.400","0.00%"
"Dec 19","0.400","0.400","0.400","0.400","0.00%"
"Nov 19","0.400","0.400","0.400","0.400","0.00%"
"Oct 19","0.400","0.430","0.450","0.400","-5.88%"
"Sep 19","0.425","0.426","0.426","0.425","-0.23%"
"Aug 19","0.426","0.451","0.451","0.426","-5.54%"
"Jul 19","0.451","0.399","0.500","0.398","13.32%"
"Jun 19","0.398","0.590","0.590","0.398","-32.43%"
"May 19","0.589","0.608","0.630","0.589","-3.12%"
"Apr 19","0.608","0.670","0.670","0.608","-13.02%"
"Mar 19","0.699","0.829","0.830","0.699","-15.68%"
"Feb 19","0.829","0.849","0.880","0.829","-2.36%"
"Jan 19","0.849","0.850","0.860","0.849","-5.67%"
"Dec 18","0.900","0.900","0.900","0.899","0.00%"
"Nov 18","0.900","0.910","0.930","0.900","-1.10%"
"Oct 18","0.910","0.950","0.950","0.910","-8.08%"
"Sep 18","0.990","1.000","1.000","0.990","-1.00%"
"Aug 18","1.000","0.990","1.000","0.970","1.01%"
"Jul 18","0.990","1.120","1.250","0.990","-20.80%"
"Jun 18","1.250","1.249","1.250","1.119","0.00%"
"May 18","1.250","1.250","1.250","1.249","0.00%"
"Apr 18","1.250","1.250","1.251","1.189","0.00%"
"Mar 18","1.250","1.300","1.300","1.250","-3.85%"
"Feb 18","1.300","1.250","1.300","1.250","13.04%"
"Jan 18","1.150","1.400","1.400","1.150","-17.86%"
"Dec 17","1.400","1.225","1.400","1.150","7.69%"
"Nov 17","1.300","1.450","1.450","1.198","-3.70%"
"Oct 17","1.350","1.750","1.750","1.276","-25.29%"
"Sep 17","1.807","1.697","1.807","1.632","6.29%"
"Aug 17","1.700","1.827","1.852","1.669","-7.96%"
"Jul 17","1.847","1.902","1.997","1.750","-5.77%"
"Jun 17","1.960","1.950","1.989","1.786","0.51%"
"May 17","1.950","1.963","2.043","1.933","11.75%"
"Apr 17","1.745","1.900","1.900","1.614","-8.16%"
"Mar 17","1.900","1.900","1.905","1.726","0.00%"
"Feb 17","1.900","1.888","2.033","1.633","1.33%"
"Jan 17","1.875","2.083","2.128","1.770","-3.80%"
"Dec 16","1.949","2.200","2.341","1.949","-12.91%"
"Nov 16","2.238","2.016","2.269","1.899","16.02%"
"Oct 16","1.929","1.949","2.132","1.874","-2.62%"
"Sep 16","1.981","2.052","2.077","1.915","-1.88%"
"Aug 16","2.019","2.450","2.450","1.994","-9.99%"
"Jul 16","2.243","2.430","2.573","2.243","-10.28%"
"Jun 16","2.500","2.500","2.672","2.430","0.00%"
"May 16","2.500","2.455","2.612","2.323","4.12%"
"Apr 16","2.401","2.650","2.670","2.338","-9.40%"
"Mar 16","2.650","2.549","2.670","2.413","3.96%"
"Feb 16","2.549","2.650","2.650","2.420","-3.81%"
"Jan 16","2.650","2.600","2.650","2.378","1.11%"
"Dec 15","2.621","2.700","2.700","2.470","-1.54%"
"Nov 15","2.662","2.775","2.901","2.600","-2.67%"
"Oct 15","2.735","2.950","3.000","2.700","-7.29%"
"Sep 15","2.950","3.002","3.002","2.806","-4.84%"
"Aug 15","3.100","3.300","3.300","2.971","-6.06%"
"Jul 15","3.300","3.301","3.399","3.114","2.68%"
"Jun 15","3.214","2.779","3.309","2.700","15.40%"
"May 15","2.785","2.450","2.808","2.400","16.04%"
"Apr 15","2.400","2.750","2.750","2.358","-7.66%"
"Mar 15","2.599","2.500","2.631","2.412","4.88%"
"Feb 15","2.478","2.800","2.800","2.478","-11.50%"
"Jan 15","2.800","3.149","3.300","2.774","-11.08%"
"Dec 14","3.149","3.199","3.401","2.922","-1.59%"
"Nov 14","3.200","3.566","3.664","3.200","-10.74%"
"Oct 14","3.585","3.450","3.585","3.443","3.91%"
"Sep 14","3.450","3.500","3.524","3.199","-1.43%"
"Aug 14","3.500","3.550","3.550","3.499","-1.41%"
"Jul 14","3.550","3.450","3.550","3.399","2.90%"
"Jun 14","3.450","3.250","3.450","3.249","6.15%"
"May 14","3.250","3.250","3.250","3.199","-4.38%"
"Apr 14","3.399","3.268","3.400","3.213","-0.03%"
"Mar 14","3.400","3.500","3.500","3.267","-0.87%"
"Feb 14","3.430","3.550","3.551","3.404","-1.35%"
"Jan 14","3.477","3.600","3.700","3.471","-3.42%"
"Dec 13","3.600","3.611","3.698","3.550","-2.76%"
"Nov 13","3.702","3.680","3.746","3.586","-0.16%"
"Oct 13","3.708","3.800","3.930","3.680","-3.94%"
"Sep 13","3.860","3.897","3.994","3.801","-1.58%"
"Aug 13","3.922","3.873","3.961","3.831","-0.91%"
"Jul 13","3.958","3.700","3.980","3.700","7.55%"
"Jun 13","3.680","3.299","4.057","3.179","14.89%"
"May 13","3.203","3.205","3.313","3.055","0.82%"
"Apr 13","3.177","3.450","3.450","3.075","-7.91%"
"Mar 13","3.450","3.500","3.500","3.367","0.15%"
"Feb 13","3.445","3.053","3.512","2.986","16.11%"
"Jan 13","2.967","3.424","3.500","2.908","-13.52%"
"Dec 12","3.431","3.450","3.504","3.396","-1.32%"
"Nov 12","3.477","3.250","3.528","3.250","7.18%"
"Oct 12","3.244","3.569","3.569","3.200","-11.92%"
"Sep 12","3.683","4.000","4.000","3.589","-7.92%"
"Aug 12","4.000","4.550","4.556","3.875","-14.68%"
"Jul 12","4.688","5.220","5.407","4.512","-13.35%"
"Jun 12","5.410","5.251","5.419","4.996","3.03%"
"May 12","5.251","5.250","5.430","5.093","-3.37%"
"Apr 12","5.434","4.954","5.441","4.949","9.60%"
"Mar 12","4.958","4.958","4.958","4.958","-3.24%"
"Feb 12","5.124","5.124","5.124","5.124","-2.66%"
"Jan 12","5.264","5.264","5.264","5.264","0.44%"
"Dec 11","5.241","5.241","5.241","5.241","-1.11%"
"Nov 11","5.300","5.300","5.300","5.300","1.65%"
"Oct 11","5.214","5.214","5.214","5.214","0.79%"
"Sep 11","5.173","5.173","5.173","5.173","-2.85%"
"Aug 11","5.325","5.325","5.325","5.325","-0.76%"
"Jul 11","5.366","5.366","5.366","5.366","2.09%"
"Jun 11","5.256","5.256","5.256","5.256","-0.28%"
"May 11","5.271","5.271","5.271","5.271","1.66%"
"Apr 11","5.185","5.185","5.185","5.185","-3.26%"
"Mar 11","5.360","5.360","5.360","5.360","0.24%"
"Feb 11","5.347","5.347","5.347","5.347","-3.66%"
"Jan 11","5.550","5.550","5.550","5.550","-3.90%"
"Dec 10","5.775","5.775","5.775","5.775","2.56%"
"Nov 10","5.631","5.631","5.631","5.631","-5.04%"
"Oct 10","5.930","5.930","5.930","5.930","2.93%"
"Sep 10","5.761","5.761","5.761","5.761","1.44%"
"Aug 10","5.679","5.679","5.679","5.679","-9.30%"
"Jul 10","6.261","6.261","6.261","6.261","-0.63%"
"Jun 10","6.301","6.301","6.301","6.301","2.36%"
"May 10","6.156","6.156","6.156","6.156","-3.36%"
"Apr 10","6.370","6.370","6.370","6.370","8.55%"
"Mar 10","5.868","5.868","5.868","5.868","-6.89%"
"Feb 10","6.302","6.302","6.302","6.302","0.49%"
"Jan 10","6.271","6.271","6.271","6.271","-3.06%"
"Dec 09","6.469","6.469","6.469","6.469","-4.13%"
"Nov 09","6.748","6.748","6.748","6.748","-5.49%"
"Oct 09","7.140","7.140","7.140","7.140","-5.34%"
"Sep 09","7.543","7.543","7.543","7.543","-0.88%"
"Aug 09","7.610","7.610","7.610","7.610","-0.73%"
"Jul 09","7.666","7.666","7.666","7.666","-1.01%"
"Jun 09","7.744","7.744","7.744","7.744","-0.01%"
"May 09","7.745","7.745","7.745","7.745","-5.05%"
"Apr 09","8.157","8.157","8.157","8.157","3.88%"
"Mar 09","7.852","7.852","7.852","7.852","3.32%"
"Feb 09","7.600","7.600","7.600","7.600","6.40%"
"Jan 09","7.143","7.143","7.143","7.143","-3.08%"
"Dec 08","7.370","7.370","7.370","7.370","10.45%"
"Nov 08","6.673","6.673","6.673","6.673","-0.89%"
"Oct 08","6.733","6.733","6.733","6.733","9.68%"
"Sep 08","6.139","6.139","6.139","6.139","11.29%"
"Aug 08","5.516","5.516","5.516","5.516","-8.14%"
"Jul 08","6.005","6.005","6.005","6.005","10.51%"
"Jun 08","5.434","5.434","5.434","5.434","0.24%"
"May 08","5.421","5.421","5.421","5.421","2.98%"
"Apr 08","5.264","5.264","5.264","5.264","-2.97%"
"Mar 08","5.425","5.425","5.425","5.425","6.29%"
"Feb 08","5.104","5.104","5.104","5.104","-7.72%"
"Jan 08","5.531","5.531","5.531","5.531","24.24%"
"Dec 07","4.452","4.452","4.452","4.452","5.77%"
"Nov 07","4.209","4.209","4.209","4.209","-9.81%"
"Oct 07","4.667","4.667","4.667","4.667","-2.99%"
"Sep 07","4.811","4.811","4.811","4.811","0.29%"
"Aug 07","4.797","4.797","4.797","4.797","7.36%"
"Jul 07","4.468","4.468","4.468","4.468","-10.60%"
"Jun 07","4.998","4.998","4.998","4.998","3.59%"
"May 07","4.825","4.825","4.825","4.825","6.11%"
"Apr 07","4.547","4.547","4.547","4.547","5.79%"
"Mar 07","4.298","4.298","4.298","4.298","-0.28%"
"Feb 07","4.310","4.310","4.310","4.310","-4.60%"
"Jan 07","4.518","4.518","4.518","4.518","8.45%"
"Dec 06","4.166","4.166","4.166","4.166","-0.74%"
"Nov 06","4.197","4.197","4.197","4.197","-3.47%"
"Oct 06","4.348","4.348","4.348","4.348","-1.20%"
"Sep 06","4.401","4.401","4.401","4.401","-3.93%"
"Aug 06","4.581","4.581","4.581","4.581","-4.16%"
"Jul 06","4.780","4.780","4.780","4.780","-0.21%"
"Jun 06","4.790","4.790","4.790","4.790","1.74%"
"May 06","4.708","4.708","4.708","4.708","5.30%"
"Apr 06","4.471","4.471","4.471","4.471","3.11%"
"Mar 06","4.336","4.336","4.336","4.336","9.22%"
"Feb 06","3.970","3.970","3.970","3.970","-0.85%"
"Jan 06","4.004","4.004","4.004","4.004","3.01%"
"Dec 05","3.887","3.887","3.887","3.887","-2.09%"
"Nov 05","3.970","3.970","3.970","3.970","1.15%"
"Oct 05","3.925","3.925","3.925","3.925","5.54%"
"Sep 05","3.719","3.719","3.719","3.719","2.73%"
"Aug 05","3.620","3.620","3.620","3.620","-3.77%"
"Jul 05","3.762","3.762","3.762","3.762","-5.86%"
"Jun 05","3.996","3.996","3.996","3.996","0.08%"
"May 05","3.993","3.993","3.993","3.993","-3.67%"
"Apr 05","4.145","4.145","4.145","4.145","-7.77%"
"Mar 05","4.494","4.494","4.494","4.494","3.38%"
"Feb 05","4.347","4.347","4.347","4.347","-0.87%"
"Jan 05","4.385","4.385","4.385","4.385","-15.69%"
"Dec 04","5.201","5.201","5.201","5.201","4.25%"
"Nov 04","4.989","4.989","4.989","4.989","-6.75%"
"Oct 04","5.350","5.350","5.350","5.350","-0.93%"
"Sep 04","5.400","5.400","5.400","5.400","-4.39%"
"Aug 04","5.648","5.648","5.648","5.648","-2.75%"
"Jul 04","5.808","5.808","5.808","5.808","3.53%"
"Jun 04","5.610","5.610","5.610","5.610","-6.08%"
