Counter,Date,Price,Open,High,Low,Vol.,Change %
38,Mar.19,583.87,583.87,622.2,573.04,-,-0.26%
37,Apr.19,575.06,575.06,586.93,565.11,-,-1.51%
36,May.19,582.48,582.48,582.53,560.05,-,1.29%
35,Jun.19,587.81,587.81,587.81,573.26,-,0.92%
34,Jul.19,580.68,580.68,587.81,573.45,-,-1.21%
33,Aug.19,567.45,567.45,585.74,565.8,-,-2.28%
32,Sep.19,570.58,570.58,581.8,566.24,-,0.55%
31,Oct.19,556.84,556.84,570.8,553.81,-,-2.41%
30,Nov.19,546.57,546.57,560.84,542.36,-,-1.84%
29,Dec.19,568.14,568.14,570.19,539.89,-,3.95%
28,Jan.20,575.87,575.87,586.55,564.52,-,1.36%
27,Feb.20,550.25,550.25,575.87,521.86,-,-4.45%
26,Mar.20,419.35,416.39,555.77,401.19,-,-23.79%
25,Apr.20,447.45,417.64,462.15,415.76,-,6.70%
24,May.20,452.71,447.74,454.73,444.07,-,1.18%
23,Jun.20,453.26,461.06,472.11,447.96,-,0.12%
22,Jul.20,436.45,452.52,454.1,436.07,-,-3.71%
21,Aug.20,434.21,436.59,438.54,428.77,-,-0.51%
20,Sep.20,427.55,431.75,435.73,421.05,-,-1.53%
19,Oct.20,427.94,420.33,430.7,419.67,-,0.09%
18,Nov.20,423.33,429.38,430.14,419.02,-,-1.08%
17,Dec.20,447.53,427.28,448.93,420.98,-,5.72%
16,Jan.21,499.38,446.94,507.17,443.54,-,11.59%
15,Feb.21,495.58,497.38,504.06,489.94,-,-0.76%
14,Mar.21,502.28,502.34,502.34,486.57,-,1.35%
13,Apr.21,522.39,499.98,524.72,497.43,-,4.00%
12,May.21,527.61,522.74,534.56,514.37,-,1.00%
11,Jun.21,557.69,534.77,558.94,525.89,-,5.70%
10,Jul.21,570.44,550.76,572.55,543.01,-,2.29%
9,Aug.21,566.1,572.65,586.75,563.45,-,-0.76%
8,Sep.21,585.36,565.11,586.32,552.79,-,3.40%
7,Oct.21,583.95,581.79,586.62,565.06,-,-0.24%
6,Nov.21,622.72,583.28,629.07,579.33,-,6.64%
5,Dec.21,635.68,616.8,641.6,599.64,-,2.08%
4,Jan.22,618.53,634.82,652.67,604.28,-,-2.70%
3,Feb.22,595.22,625.53,633.62,582.03,-,-3.77%
2,Mar.22,626.76,587.48,627.59,529,-,5.30%
1,Apr.22,619.03,635.1,641.38,609.75,-,-1.23%
