Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,4.638000,4.944000,4.610000,4.653000,4.653000,0
1999-02-01,4.673000,5.345000,4.673000,5.272000,5.272000,0
1999-03-01,5.285000,5.427000,5.063000,5.234000,5.234000,0
1999-04-01,5.208000,5.367000,4.998000,5.350000,5.350000,0
1999-05-01,5.363000,5.691000,5.337000,5.611000,5.611000,0
1999-06-01,5.649000,6.060000,5.624000,5.810000,5.810000,0
1999-07-01,5.823000,5.939000,5.629000,5.907000,5.907000,0
1999-08-01,5.898000,6.162000,5.717000,5.979000,5.979000,0
1999-09-01,5.966000,6.029000,5.739000,5.885000,5.885000,0
1999-10-01,5.923000,6.253000,5.923000,6.003000,6.003000,0
1999-11-01,6.036000,6.211000,5.867000,6.163000,6.163000,0
1999-12-01,6.224000,6.440000,6.063000,6.435000,6.435000,0
2000-01-01,6.498000,6.823000,6.411000,6.667000,6.667000,0
2000-02-01,6.630000,6.683000,6.324000,6.409000,6.409000,0
2000-03-01,6.388000,6.443000,5.937000,6.023000,6.023000,0
2000-04-01,6.002000,6.291000,5.706000,6.214000,6.214000,0
2000-05-01,6.227000,6.564000,6.214000,6.285000,6.285000,0
2000-06-01,6.272000,6.272000,5.948000,6.018000,6.018000,0
2000-07-01,6.035000,6.180000,5.925000,6.029000,6.029000,0
2000-08-01,6.020000,6.020000,5.683000,5.729000,5.729000,0
2000-09-01,5.716000,5.990000,5.571000,5.778000,5.778000,0
2000-10-01,5.791000,5.897000,5.553000,5.757000,5.757000,0
2000-11-01,5.740000,5.885000,5.427000,5.439000,5.439000,0
2000-12-01,5.493000,5.534000,4.994000,5.110000,5.110000,0
2001-01-01,5.075000,5.494000,4.874000,5.179000,5.179000,0
2001-02-01,5.082000,5.227000,4.872000,4.908000,4.908000,0
2001-03-01,4.860000,5.121000,4.689000,4.915000,4.915000,0
2001-04-01,4.886000,5.393000,4.838000,5.338000,5.338000,0
2001-05-01,5.326000,5.527000,5.081000,5.413000,5.413000,0
2001-06-01,5.366000,5.439000,4.999000,5.390000,5.390000,0
2001-07-01,5.408000,5.425000,5.033000,5.037000,5.037000,0
2001-08-01,5.054000,5.193000,4.710000,4.816000,4.816000,0
2001-09-01,4.848000,4.988000,4.509000,4.575000,4.575000,0
2001-10-01,4.567000,4.699000,4.255000,4.263000,4.263000,0
2001-11-01,4.217000,5.077000,4.096000,4.744000,4.744000,0
2001-12-01,4.735000,5.385000,4.624000,5.032000,5.032000,0
2002-01-01,5.066000,5.217000,4.786000,5.025000,5.025000,0
2002-02-01,5.041000,5.050000,4.799000,4.859000,4.859000,0
2002-03-01,4.891000,5.452000,4.891000,5.406000,5.406000,0
2002-04-01,5.390000,5.457000,5.033000,5.091000,5.091000,0
2002-05-01,5.083000,5.327000,5.011000,5.043000,5.043000,0
2002-06-01,5.078000,5.112000,4.617000,4.824000,4.824000,0
2002-07-01,4.805000,4.869000,4.224000,4.465000,4.465000,0
2002-08-01,4.445000,4.470000,3.961000,4.137000,4.137000,0
2002-09-01,4.054000,4.106000,3.567000,3.607000,3.607000,0
2002-10-01,3.684000,4.273000,3.559000,3.911000,3.911000,0
2002-11-01,3.909000,4.272000,3.775000,4.213000,4.213000,0
2002-12-01,4.350000,4.351000,3.759000,3.818000,3.818000,0
2003-01-01,3.875000,4.203000,3.860000,3.975000,3.975000,0
2003-02-01,4.003000,4.038000,3.692000,3.696000,3.696000,0
2003-03-01,3.711000,4.117000,3.549000,3.823000,3.823000,0
2003-04-01,3.804000,4.080000,3.780000,3.857000,3.857000,0
2003-05-01,3.832000,3.955000,3.290000,3.350000,3.350000,0
2003-06-01,3.408000,3.597000,3.074000,3.528000,3.528000,0
2003-07-01,3.507000,4.566000,3.459000,4.474000,4.474000,0
2003-08-01,4.585000,4.668000,4.190000,4.454000,4.454000,0
2003-09-01,4.561000,4.616000,3.935000,3.937000,3.937000,0
2003-10-01,3.949000,4.475000,3.912000,4.301000,4.301000,0
2003-11-01,4.326000,4.491000,4.113000,4.320000,4.320000,0
2003-12-01,4.343000,4.450000,4.099000,4.257000,4.257000,0
2004-01-01,4.272000,4.418000,3.918000,4.138000,4.138000,0
2004-02-01,4.166000,4.203000,3.982000,3.984000,3.984000,0
2004-03-01,3.986000,4.106000,3.650000,3.837000,3.837000,0
2004-04-01,3.837000,4.634000,3.831000,4.501000,4.501000,0
2004-05-01,4.532000,4.904000,4.444000,4.655000,4.655000,0
2004-06-01,4.679000,4.874000,4.589000,4.617000,4.617000,0
2004-07-01,4.602000,4.641000,4.351000,4.475000,4.475000,0
2004-08-01,4.432000,4.473000,4.096000,4.132000,4.132000,0
2004-09-01,4.094000,4.298000,3.963000,4.119000,4.119000,0
2004-10-01,4.162000,4.258000,3.943000,4.029000,4.029000,0
2004-11-01,4.050000,4.382000,4.036000,4.358000,4.358000,0
2004-12-01,4.338000,4.420000,4.069000,4.216000,4.216000,0
2005-01-01,4.257000,4.313000,4.119000,4.133000,4.133000,0
2005-02-01,4.129000,4.384000,3.977000,4.359000,4.359000,2959200
2005-03-01,4.363000,4.693000,4.289000,4.496000,4.496000,2007800
2005-04-01,4.488000,4.541000,4.144000,4.201000,4.201000,631500
2005-05-01,4.192000,4.292000,3.992000,4.006000,4.006000,474000
2005-06-01,3.970000,4.152000,3.803000,3.945000,3.945000,0
2005-07-01,3.944000,4.298000,3.942000,4.286000,4.286000,473800
2005-08-01,4.300000,4.435000,4.005000,4.020000,4.020000,0
2005-09-01,4.043000,4.341000,3.983000,4.328000,4.328000,0
2005-10-01,4.320000,4.605000,4.317000,4.559000,4.559000,0
2005-11-01,4.545000,4.682000,4.388000,4.500000,4.500000,0
2005-12-01,4.476000,4.581000,4.334000,4.395000,4.395000,0
2006-01-01,4.424000,4.557000,4.289000,4.527000,4.527000,0
2006-02-01,4.529000,4.630000,4.500000,4.547000,4.547000,0
2006-03-01,4.561000,4.884000,4.551000,4.853000,4.853000,0
2006-04-01,4.884000,5.143000,4.835000,5.069000,5.069000,0
2006-05-01,5.059000,5.192000,4.980000,5.113000,5.113000,0
2006-06-01,5.137000,5.245000,4.949000,5.138000,5.138000,0
2006-07-01,5.155000,5.241000,4.979000,4.988000,4.988000,0
2006-08-01,5.002000,5.018000,4.728000,4.732000,4.732000,0
2006-09-01,4.724000,4.848000,4.530000,4.633000,4.633000,0
2006-10-01,4.653000,4.848000,4.559000,4.606000,4.606000,0
2006-11-01,4.610000,4.737000,4.456000,4.458000,4.458000,0
2006-12-01,4.479000,4.720000,4.404000,4.710000,4.710000,0
2007-01-01,4.658000,4.906000,4.583000,4.826000,4.826000,0
2007-02-01,4.814000,4.870000,4.509000,4.550000,4.550000,0
2007-03-01,4.523000,4.672000,4.473000,4.648000,4.648000,0
2007-04-01,4.638000,4.775000,4.612000,4.630000,4.630000,0
2007-05-01,4.618000,4.921000,4.602000,4.890000,4.890000,0
2007-06-01,4.898000,5.316000,4.874000,5.033000,5.033000,0
2007-07-01,5.031000,5.201000,4.741000,4.771000,4.771000,0
2007-08-01,4.733000,4.890000,4.496000,4.537000,4.537000,0
2007-09-01,4.514000,4.702000,4.301000,4.579000,4.579000,0
2007-10-01,4.579000,4.719000,4.312000,4.475000,4.475000,0
2007-11-01,4.455000,4.457000,3.845000,3.972000,3.972000,0
2007-12-01,3.944000,4.281000,3.840000,4.035000,4.035000,0
2008-01-01,4.033000,4.052000,3.281000,3.639000,3.639000,0
2008-02-01,3.652000,3.960000,3.526000,3.534000,3.534000,0
2008-03-01,3.562000,3.704000,3.288000,3.432000,3.432000,0
2008-04-01,3.486000,3.888000,3.430000,3.759000,3.759000,0
2008-05-01,3.751000,4.139000,3.682000,4.046000,4.046000,0
2008-06-01,4.025000,4.324000,3.856000,3.979000,3.979000,0
2008-07-01,3.942000,4.174000,3.769000,3.979000,3.979000,0
2008-08-01,3.942000,4.090000,3.763000,3.813000,3.813000,0
2008-09-01,3.847000,3.905000,3.250000,3.827000,3.827000,0
2008-10-01,3.748000,4.109000,3.400000,3.970000,3.970000,0
2008-11-01,3.937000,3.964000,2.930000,2.957000,2.957000,0
2008-12-01,2.883000,2.887000,2.038000,2.244000,2.244000,0
2009-01-01,2.203000,2.856000,2.159000,2.844000,2.844000,0
2009-02-01,2.833000,3.054000,2.628000,3.041000,3.041000,0
2009-03-01,2.963000,3.041000,2.464000,2.685000,2.685000,0
2009-04-01,2.659000,3.166000,2.634000,3.124000,3.124000,0
2009-05-01,3.167000,3.758000,3.077000,3.465000,3.465000,0
2009-06-01,3.505000,4.014000,3.456000,3.523000,3.523000,0
2009-07-01,3.589000,3.766000,3.265000,3.501000,3.501000,0
2009-08-01,3.565000,3.886000,3.394000,3.401000,3.401000,0
2009-09-01,3.399000,3.535000,3.272000,3.307000,3.307000,0
2009-10-01,3.290000,3.579000,3.106000,3.392000,3.392000,0
2009-11-01,3.403000,3.564000,3.200000,3.201000,3.201000,0
2009-12-01,3.231000,3.918000,3.223000,3.843000,3.843000,0
2010-01-01,3.859000,3.859000,3.576000,3.609000,3.609000,0
2010-02-01,3.633000,3.828000,3.537000,3.595000,3.595000,0
2010-03-01,3.617000,3.930000,3.593000,3.833000,3.833000,0
2010-04-01,3.859000,4.013000,3.655000,3.663000,3.663000,0
2010-05-01,3.695000,3.713000,3.098000,3.301000,3.301000,0
2010-06-01,3.259000,3.425000,2.947000,2.951000,2.951000,0
2010-07-01,2.929000,3.124000,2.883000,2.907000,2.907000,0
2010-08-01,2.934000,2.964000,2.419000,2.477000,2.477000,0
2010-09-01,2.491000,2.827000,2.449000,2.517000,2.517000,0
2010-10-01,2.546000,2.720000,2.334000,2.612000,2.612000,0
2010-11-01,2.588000,2.963000,2.460000,2.797000,2.797000,0
2010-12-01,2.903000,3.566000,2.890000,3.305000,3.305000,0
2011-01-01,3.377000,3.497000,3.255000,3.378000,3.378000,0
2011-02-01,3.428000,3.744000,3.398000,3.414000,3.414000,0
2011-03-01,3.464000,3.595000,3.141000,3.454000,3.454000,0
2011-04-01,3.498000,3.619000,3.286000,3.296000,3.296000,0
2011-05-01,3.312000,3.312000,3.041000,3.050000,3.050000,0
2011-06-01,3.015000,3.216000,2.847000,3.158000,3.158000,0
2011-07-01,3.147000,3.223000,2.805000,2.805000,2.805000,0
2011-08-01,2.792000,2.821000,1.978000,2.218000,2.218000,0
2011-09-01,2.202000,2.278000,1.696000,1.924000,1.924000,0
2011-10-01,1.883000,2.407000,1.717000,2.175000,2.175000,0
2011-11-01,2.029000,2.137000,1.879000,2.068000,2.068000,0
2011-12-01,2.128000,2.156000,1.801000,1.871000,1.871000,0
2012-01-01,1.951000,2.094000,1.797000,1.799000,1.799000,0
2012-02-01,1.807000,2.080000,1.800000,1.977000,1.977000,0
2012-03-01,2.033000,2.397000,1.931000,2.216000,2.216000,0
2012-04-01,2.200000,2.284000,1.907000,1.915000,1.915000,0
2012-05-01,1.919000,1.961000,1.533000,1.581000,1.581000,0
2012-06-01,1.521000,1.686000,1.440000,1.659000,1.659000,0
2012-07-01,1.643000,1.643000,1.394000,1.492000,1.492000,0
2012-08-01,1.492000,1.863000,1.449000,1.562000,1.562000,0
2012-09-01,1.565000,1.892000,1.548000,1.637000,1.637000,0
2012-10-01,1.620000,1.852000,1.611000,1.686000,1.686000,0
2012-11-01,1.715000,1.779000,1.556000,1.606000,1.606000,0
2012-12-01,1.644000,1.847000,1.564000,1.756000,1.756000,0
2013-01-01,1.842000,2.037000,1.803000,1.985000,1.985000,0
2013-02-01,2.010000,2.054000,1.843000,1.888000,1.888000,0
2013-03-01,1.850000,2.086000,1.833000,1.852000,1.852000,0
2013-04-01,1.885000,1.888000,1.638000,1.675000,1.675000,0
2013-05-01,1.658000,2.211000,1.614000,2.164000,2.164000,0
2013-06-01,2.168000,2.657000,1.999000,2.478000,2.478000,0
2013-07-01,2.521000,2.725000,2.451000,2.593000,2.593000,0
2013-08-01,2.601000,2.920000,2.552000,2.749000,2.749000,0
2013-09-01,2.837000,2.984000,2.599000,2.615000,2.615000,0
2013-10-01,2.646000,2.757000,2.471000,2.542000,2.542000,0
2013-11-01,2.589000,2.839000,2.572000,2.741000,2.741000,0
2013-12-01,2.781000,3.036000,2.759000,3.026000,3.026000,0
2014-01-01,3.028000,3.034000,2.646000,2.668000,2.668000,0
2014-02-01,2.677000,2.781000,2.579000,2.658000,2.658000,0
2014-03-01,2.612000,2.821000,2.596000,2.723000,2.723000,0
2014-04-01,2.743000,2.808000,2.596000,2.648000,2.648000,0
2014-05-01,2.660000,2.700000,2.402000,2.457000,2.457000,0
2014-06-01,2.500000,2.659000,2.487000,2.516000,2.516000,0
2014-07-01,2.550000,2.692000,2.448000,2.556000,2.556000,0
2014-08-01,2.582000,2.591000,2.300000,2.343000,2.343000,0
2014-09-01,2.393000,2.642000,2.382000,2.508000,2.508000,0
2014-10-01,2.475000,2.484000,1.868000,2.335000,2.335000,0
2014-11-01,2.325000,2.407000,2.194000,2.194000,2.194000,0
2014-12-01,2.157000,2.331000,2.045000,2.170000,2.170000,0
2015-01-01,2.197000,2.213000,1.651000,1.675000,1.675000,0
2015-02-01,1.674000,2.152000,1.654000,2.002000,2.002000,0
2015-03-01,2.014000,2.259000,1.852000,1.934000,1.934000,0
2015-04-01,1.892000,2.110000,1.843000,2.046000,2.046000,0
2015-05-01,2.067000,2.335000,2.058000,2.095000,2.095000,0
2015-06-01,2.125000,2.489000,2.106000,2.335000,2.335000,0
2015-07-01,2.418000,2.470000,2.187000,2.205000,2.205000,0
2015-08-01,2.194000,2.293000,1.905000,2.200000,2.200000,0
2015-09-01,2.165000,2.303000,2.047000,2.060000,2.060000,0
