GEO/TIME,GDP,SENTIMENT,SNP_VOL,SNP_CLOSE,US_BOND_YIELD,BRENT,EA_PMI,DAX_CLOSE,DAX_VOL,OMXTGI_CLOSE
2000Q3,0.012342607,0.007692308,0.162601114,-0.073064661,0.057435016,-0.062323238,-0.030971528,-0.014821273,-0.070141423,0.003308342
2000Q4,0.022499713,0.064538515,0.102523165,-0.073401515,0.33554999,-0.052810404,-0.129527868,-0.039823009,-0.079970563,-0.056720596
2001Q1,0.014424002,-0.035202086,-0.033603297,-0.009723122,0.069428883,-0.020558294,0.054109766,-0.041474654,0.07592321,0.069184921
2001Q2,0.001248104,0.031418919,-0.033550997,-0.092209478,0.21736909,-0.167440889,-0.072231728,-0.066346154,-0.106127254,-0.077692054
2001Q3,0.020639053,-0.050442188,0.127900807,-0.011353466,-0.0507055,-0.042218409,-0.235278619,-0.079299691,-0.026961464,0.032745913
2001Q4,0.014671552,0.103139013,0.011634342,0.01105664,0.066864825,0.056756536,0.092161929,0.05704698,0.089108911,0.275959995
2002Q1,0.006978303,0.011257036,0.037627767,-0.074000095,0.026115598,-0.083757179,0.185488959,0.022222222,-0.021713538,0.055989936
2002Q2,0.034967469,0.022572665,0.161427337,-0.156646075,0.267910146,-0.285067622,0.074906865,-0.034161491,-0.183781254,-0.065722193
2002Q3,0.020043567,-0.005745388,-0.062467185,0.022293102,-0.072297476,-0.080170989,-0.007179106,-0.02357985,-0.021869113,0.185436569
2002Q4,0.007323855,0.018552311,-0.075077181,-0.058055657,0.20796055,-0.175857887,0.178905373,-0.015367728,-0.037514654,0.029720338
2003Q1,0.022935845,-0.04120633,0.06711446,0.121798171,-0.057375847,0.184816163,-0.169733503,0.021181717,-0.066034453,0.159370681
2003Q2,0.023158773,0.004671442,-0.059519424,0.048784418,-0.016351864,0.1185221,0.08712266,0.017467249,0.198416395,0.13976408
2003Q3,0.009842306,-0.010849348,-0.020537592,0.075657334,-0.084694979,0.11123816,0.033040422,0.052575107,0.001010494,0.002517452
2003Q4,0.026102525,0.001880288,0.115869403,0.05633641,0.185558922,0.049824504,0.086197119,0.001019368,-0.071362013,0.181832519
2004Q1,0.023195099,0.018142008,-0.062875847,-0.009834581,-0.167427698,0.002169521,0.110368592,0.022403259,0.151684924,0.049711564
2004Q2,-0.006795656,-0.025192012,-0.065170944,-0.014331427,-0.024786023,-0.032245054,0.167575701,0.002988048,-0.076018297,0.038527355
2004Q3,0.022604924,-0.034982666,0.125407803,0.05884585,0.037325118,0.066409945,0.06709085,-0.000993049,-0.009665252,0.174003107
2004Q4,0.020792304,0.053886349,0.072378923,0.014084427,0.101510724,0.049567648,0.080006038,-0.019880716,0.030548282,0.296747804
2005Q1,0.017561434,0.019212891,0.23314153,-0.007230484,0.025722567,0.021432515,0.082395695,-0.011156187,-0.064367108,0.127674181
2005Q2,0.039596981,0.003344482,0.009684491,0.040579939,0.046481753,0.11552218,0.19066374,0.01025641,0.039664253,0.055394673
